"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명"
"NODE","POINT(126.95039092907679 37.58193319482926)","84301","1","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.91006124089908 37.571805744294636)","150243","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.90627700153186 37.57427647221873)","150237","2","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.90567880733936 37.574376690928176)","150235","2","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"LINK","","0","","LINESTRING(126.95625392923962 37.558022682032785,126.95640917378135 37.55800443118764)","281773","1000","71652","71653","13.8660","1141000000","서대문구","1141011000","북아현동"
"NODE","POINT(126.94765002735457 37.59902734928511)","168092","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"LINK","","0","","LINESTRING(126.94852735896077 37.557108730323314,126.94853360020511 37.55678556635369)","7269","1000","56274","105584","35.8720","1141000000","서대문구","1141011200","대현동"
"NODE","POINT(126.94262307268156 37.5567444205002)","82528","0","","0","","","","","1141000000","서대문구","1141011200","대현동"
"LINK","","0","","LINESTRING(126.942743006063 37.5577926268431,126.9429557158235 37.557815615131354)","114850","1000","111839","111851","18.9670","1141000000","서대문구","1141011200","대현동"
"LINK","","0","","LINESTRING(126.95175907452752 37.58055714151058,126.95190432685509 37.58065682488542)","81740","1000","213889","83231","16.9420","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.91740856063251 37.575010089034805)","150203","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"LINK","","0","","LINESTRING(126.92702235258034 37.581290923647366,126.92720198438042 37.58138638970794)","119147","1000","80844","40875","19.0790","1141000000","서대문구","1141011800","홍은동"
"LINK","","0","","LINESTRING(126.91638307822767 37.57525972168998,126.91634823693492 37.575162336900746)","25544","1000","150199","150201","11.2380","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.94210947257037 37.5592157851509)","102782","0","","0","","","","","1141000000","서대문구","1141011200","대현동"
"LINK","","0","","LINESTRING(126.94792144536275 37.58509258125773,126.94805859065907 37.585194979746426)","212661","1000","23948","213819","16.6100","1141000000","서대문구","1141011100","홍제동"
"LINK","","0","","LINESTRING(126.92556820047523 37.56633660445057,126.9257091602364 37.56640580961504,126.92597641250025 37.56635492492891)","169481","1000","213888","213833","38.9090","1141000000","서대문구","1141011700","연희동"
"LINK","","0","","LINESTRING(126.94039471402218 37.59512754123684,126.9404858148734 37.595179451445794)","104707","1000","213863","145835","9.8960","1141000000","서대문구","1141011800","홍은동"
"LINK","","0","","LINESTRING(126.94152002148884 37.59164797171306,126.94180493374704 37.59140552944216)","275713","1000","82306","146020","36.8410","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.91634823693492 37.575162336900746)","150201","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.96261933492973 37.55941807259887)","83803","0","","0","","","","","1141000000","서대문구","1141010200","충정로3가"
"LINK","","0","","LINESTRING(126.96279756769901 37.567943418402905,126.96283776655868 37.568048703398354)","187666","1000","84377","83835","12.2130","1141000000","서대문구","1141010600","천연동"
"LINK","","0","","LINESTRING(126.9097510296226 37.577874287579846,126.90972794696307 37.57769345839318)","197922","1000","183742","183745","20.1730","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.91638307822767 37.57525972168998)","150199","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.91473467838642 37.575184363473355)","150196","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"LINK","","0","","LINESTRING(126.96349087790001 37.5610585447,126.96326091454215 37.56115578244748)","277578","1000","213776","84486","23.0060","1141000000","서대문구","1141010200","충정로3가"
"NODE","POINT(126.95191445083736 37.58040845083964)","213759","2","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"NODE","POINT(126.96425279929615 37.567023879252815)","77940","0","","0","","","","","1141000000","서대문구","1141010500","냉천동"
